sale_id,salesperson,region,category,quantity,unit_price,sale_date,discount,revenue,net_price,sale_month,sale_quarter
1.0,Alice,North,Clothing,48.0,371.63,2024-10-14,0.19,17838.24,301.02,10.0,4.0
2.0,Diana,North,Electronics,42.0,212.66,2024-05-26,0.3,8931.72,148.86,5.0,2.0
3.0,Alice,East,Food,49.0,50.91,2024-06-20,0.02,2494.59,49.89,6.0,2.0
4.0,Bob,South,Electronics,41.0,431.54,2024-12-03,0.19,17693.14,349.55,12.0,4.0
5.0,Eve,South,Food,7.0,229.44,2024-03-12,0.27,1606.08,167.49,3.0,1.0
6.0,Bob,East,Electronics,11.0,138.62,2024-12-18,0.13,1524.82,120.6,12.0,4.0
7.0,Alice,West,Food,27.0,137.53,2024-10-23,0.26,3713.31,101.77,10.0,4.0
8.0,Bob,East,Food,48.0,135.06,2024-10-13,0.4,6482.88,81.04,10.0,4.0
9.0,Bob,South,Food,27.0,315.59,2024-07-20,0.19,8520.93,255.63,7.0,3.0
10.0,Bob,North,Electronics,1.0,61.7,2024-05-25,0.04,61.7,59.23,5.0,2.0
11.0,Bob,North,Electronics,17.0,382.17,2024-02-28,0.34,6496.89,252.23,2.0,1.0
12.0,Diana,East,Food,35.0,461.6,2024-10-11,0.04,16156.0,443.14,10.0,4.0
13.0,Eve,West,Electronics,37.0,47.4,2024-02-25,0.05,1753.8,45.03,2.0,1.0
14.0,Charlie,North,Electronics,28.0,464.81,2024-12-07,0.16,13014.68,390.44,12.0,4.0
15.0,Bob,East,Electronics,16.0,172.35,2024-04-19,0.03,2757.6,167.18,4.0,2.0
16.0,Diana,South,Electronics,5.0,142.85,2024-09-05,0.35,714.25,92.85,9.0,3.0
17.0,Diana,East,Food,7.0,218.37,2024-08-28,0.27,1528.59,159.41,8.0,3.0
18.0,Bob,North,Books,7.0,99.15,2024-07-06,0.1,694.05,89.24,7.0,3.0
19.0,Bob,South,Electronics,35.0,484.65,2024-04-06,0.19,16962.75,392.57,4.0,2.0
20.0,Alice,East,Books,27.0,463.63,2024-05-14,0.29,12518.01,329.18,5.0,2.0
21.0,Bob,East,Clothing,4.0,273.39,2024-01-02,0.2,1093.56,218.71,1.0,1.0
22.0,Charlie,North,Electronics,12.0,38.64,2024-07-04,0.23,463.68,29.75,7.0,3.0
23.0,Alice,South,Books,37.0,467.68,2024-12-11,0.16,17304.16,392.85,12.0,4.0
24.0,Eve,East,Food,5.0,232.53500000000003,2024-10-04,0.19,1162.68,188.35,10.0,4.0
25.0,Eve,East,Food,16.0,83.08,2024-12-10,0.39,1329.28,50.68,12.0,4.0
26.0,Alice,North,Electronics,9.0,445.41,2024-03-09,0.08,4008.69,409.78,3.0,1.0
27.0,Eve,East,Food,4.0,214.67,2024-01-11,0.25,858.68,161.0,1.0,1.0
28.0,Bob,South,Electronics,27.0,442.14,2024-09-02,0.23,11937.78,340.45,9.0,3.0
29.0,Charlie,North,Food,3.0,108.99,2024-02-12,0.35,326.97,70.84,2.0,1.0
30.0,Charlie,West,Food,12.0,17.27,2024-06-26,0.32,207.24,11.74,6.0,2.0
31.0,Diana,North,Clothing,7.0,24.17,2024-04-27,0.14,169.19,20.79,4.0,2.0
32.0,Diana,West,Electronics,26.0,432.85,2024-05-12,0.16,11254.1,363.59,5.0,2.0
33.0,Bob,North,Electronics,17.0,481.45,2024-02-20,0.29,8184.65,341.83,2.0,1.0
34.0,Bob,South,Electronics,3.0,5.84,2024-09-22,0.3,17.52,4.09,9.0,3.0
35.0,Bob,South,Electronics,22.0,333.38,2024-05-17,0.16,7334.36,280.04,5.0,2.0
36.0,Eve,East,Clothing,25.0,451.89,2024-05-13,0.0,11297.25,451.89,5.0,2.0
37.0,Alice,East,Books,44.0,239.23,2024-12-06,0.11,10526.12,212.91,12.0,4.0
38.0,Bob,South,Food,16.0,116.2,2024-01-02,0.19,1859.2,94.12,1.0,1.0
39.0,Bob,East,Books,37.0,349.7,2024-04-05,0.0,12938.9,349.7,4.0,2.0
40.0,Bob,South,Clothing,45.0,29.86,2024-02-15,0.19,1343.7,24.19,2.0,1.0
41.0,Bob,East,Electronics,33.0,453.89,2024-03-24,0.18,14978.37,372.19,3.0,1.0
42.0,Eve,East,Electronics,29.0,146.44,2024-06-18,0.19,4246.76,118.62,6.0,2.0
43.0,Alice,East,Electronics,27.0,273.59,2024-04-27,0.36,7386.93,175.1,4.0,2.0
44.0,Alice,South,Books,27.0,377.97,2024-07-18,0.22,10205.19,294.82,7.0,3.0
45.0,Diana,East,Clothing,32.0,232.53500000000003,2024-11-26,0.07,7441.12,216.26,11.0,4.0
46.0,Charlie,North,Books,43.0,232.53500000000003,2024-03-28,0.02,9999.01,227.88,3.0,1.0
47.0,Diana,East,Food,25.0,475.85,2024-02-16,0.19,11896.25,385.44,2.0,1.0
48.0,Bob,West,Electronics,42.0,232.53500000000003,,0.01,9766.47,230.21,,
49.0,Charlie,East,Electronics,14.0,131.84,2024-10-20,0.29,1845.76,93.61,10.0,4.0
